[native][main]2020-3-23 20:6:16	收到参数1: ["D:\\bellcode\\git\\Client\\platform\\pc\
ode_modules\\electron\\dist\\electron.exe","."]
[native][net]2020-3-23 20:6:16	urlValue: .
[native][net]2020-3-23 20:6:17	config.urlValue:["."]
[native][main]2020-3-23 20:6:18	收到渲染进程消息:CHECK_UPDATE_COMPLETE args
[native][net]2020-3-23 20:6:18	初始化native本地服务器配置
[native][globalConfig]2020-3-23 20:6:18	content:[{"environName":"ready","gameVersion":464,"patchUrl":"47.107.73.43/native/win/release/patch","policyUrl":"47.107.73.43/web/ready","serverPackageVersion":1,"token":""}]
[native][main]2020-3-23 20:6:18	发送主进程消息:UPDATE_GLOBAL_CONFIG args:[{"environName":"ready","gameVersion":464,"patchUrl":"47.107.73.43/native/win/release/patch","policyUrl":"47.107.73.43/web/ready","serverPackageVersion":1,"token":""}]
[native][config]2020-3-23 20:6:18	nativeMode:2
[native][update]2020-3-23 20:6:18	从官网地址进入
[native][main]2020-3-23 20:6:18	发送主进程消息:START_NATIVE_WEBSITE args
[native][platform]2020-3-23 20:6:18	config.environName:["ready"]
[native][globalConfig]2020-3-23 20:6:18	content:[{"environName":"ready","gameVersion":464,"patchUrl":"47.107.73.43/native/win/release/patch","policyUrl":"47.107.73.43/web/ready","serverPackageVersion":1,"token":"48196e10-6cf9-11ea-aad7-0242ac140004-6447"}]
[native][main]2020-3-23 20:6:18	发送主进程消息:UPDATE_GLOBAL_CONFIG args:[{"environName":"ready","gameVersion":464,"patchUrl":"47.107.73.43/native/win/release/patch","policyUrl":"47.107.73.43/web/ready","serverPackageVersion":1,"token":"48196e10-6cf9-11ea-aad7-0242ac140004-6447"}]
[native][electron]2020-3-23 20:6:18	will-navigate: https://democm.wkcoding.com/
[native][electron]2020-3-23 20:6:24	new-window: http://wplanet.wkcoding.com/app-ready?register=1&developMode=1&register=1&banner=1&bellApiOrigin=demoapi.wkcoding.com&serverListServer=ready-server-list.wkcoding.com
[native][electron]2020-3-23 20:6:29	运行第二个实例
[native][electron]2020-3-23 20:6:29	显示当前主窗口
[native][main]2020-3-23 20:6:29	收到参数: ["D:\\Program Files\\bellplanet\\bellplanet.exe","--allow-file-access-from-files","--original-process-start-time=13229438787686477","bellplanet://banner/?fakeGameMode=lessons&gameServer=app-ready.wkcoding.com&accountServer=ready-account.wkcoding.com&serverListServer=ready-server-list.wkcoding.com&uploadLogServer=ready-clientlog.wkcoding.com&register=1&developMode=1&register=1&banner=1&bellApiOrigin=demoapi.wkcoding.com&serverListServer=ready-server-list.wkcoding.com&gameVersion=_v464&displayVersion=464&cdnUrl=&versionType=0"], ["D:\\bellcode\\git\\Client\\platform\\pc\
ode_modules\\electron\\dist\\electron.exe","."]
[native][net]2020-3-23 20:6:29	urlValue: bellplanet://banner/?fakeGameMode=lessons&gameServer=app-ready.wkcoding.com&accountServer=ready-account.wkcoding.com&serverListServer=ready-server-list.wkcoding.com&uploadLogServer=ready-clientlog.wkcoding.com&register=1&developMode=1&register=1&banner=1&bellApiOrigin=demoapi.wkcoding.com&serverListServer=ready-server-list.wkcoding.com&gameVersion=_v464&displayVersion=464&cdnUrl=&versionType=0
[native][net]2020-3-23 20:6:29	config.urlValue:["bellplanet://banner/?fakeGameMode=lessons&gameServer=app-ready.wkcoding.com&accountServer=ready-account.wkcoding.com&serverListServer=ready-server-list.wkcoding.com&uploadLogServer=ready-clientlog.wkcoding.com&register=1&developMode=1&register=1&banner=1&bellApiOrigin=demoapi.wkcoding.com&serverListServer=ready-server-list.wkcoding.com&gameVersion=_v464&displayVersion=464&cdnUrl=&versionType=0"]
[native][main]2020-3-23 20:6:29	收到渲染进程消息:CHECK_UPDATE_COMPLETE args
[native][net]2020-3-23 20:6:29	初始化native本地服务器配置
